               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10859,            0.023953,            0.053101,           0.0020008,             0.42464,           0.0018078,          0.00040939,            0.071286,            0.018622,            0.036326,           0.0033003,           0.0033003,            0.070297
                   1,            0.075077,            0.027882,            0.051058,             0.18007,             0.29354,            0.021124,           0.0047187,            0.045399,            0.069053,            0.034772,           0.0066118,           0.0066118,            0.040275
                   2,            0.062642,            0.025909,            0.048882,            0.035863,             0.12416,            0.023051,           0.0047545,            0.063705,            0.014549,            0.034294,           0.0099012,           0.0099012,            0.010231
                   3,             0.05642,            0.023412,            0.044104,             0.13113,             0.49673,             0.15492,            0.053393,            0.042993,            0.038445,             0.02971,            0.009901,            0.009901,            0.009901
                   4,            0.050746,            0.021291,            0.038604,             0.34727,             0.68878,             0.51702,             0.24045,            0.024894,            0.013629,            0.020787,            0.009901,            0.009901,            0.009901
                   5,            0.046201,             0.01901,            0.035829,             0.49958,             0.64882,              0.5451,             0.28343,            0.024746,            0.015394,            0.026179,            0.009868,            0.009868,            0.009868
                   6,            0.042385,            0.018096,            0.033868,             0.42957,             0.79456,             0.64328,             0.28402,            0.027173,            0.012309,            0.021347,            0.009835,            0.009835,            0.009835
                   7,            0.041324,            0.017405,            0.031113,             0.68526,             0.84106,             0.85766,             0.51436,            0.020387,            0.009696,            0.014045,            0.009802,            0.009802,            0.009802
                   8,            0.040043,            0.016871,            0.027398,             0.74954,             0.82339,             0.89645,             0.48484,            0.021185,            0.010049,             0.01229,            0.009769,            0.009769,            0.009769
                   9,            0.039301,            0.016487,            0.024327,             0.62239,             0.58166,              0.7443,             0.43852,             0.02288,            0.013512,             0.01761,            0.009736,            0.009736,            0.009736
                  10,             0.03814,            0.016202,            0.021005,              0.8696,              0.8453,             0.93479,             0.50251,            0.022626,           0.0094249,           0.0096716,            0.009703,            0.009703,            0.009703
                  11,            0.038008,            0.015874,            0.017768,             0.97582,             0.97686,             0.99008,              0.6104,            0.019022,           0.0082194,           0.0027282,             0.00967,             0.00967,             0.00967
                  12,            0.036246,            0.014996,            0.016213,              0.7019,             0.72222,             0.72385,             0.36086,            0.022471,           0.0099414,            0.024566,            0.009637,            0.009637,            0.009637
                  13,            0.035805,            0.014854,            0.014692,             0.96548,             0.93736,             0.99122,             0.46415,            0.023935,           0.0081222,           0.0038847,            0.009604,            0.009604,            0.009604
